Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-M-D Traffic (StL Index),Origin Zone Traffic (StL Index),Middle Filter Zone Traffic (StL Index),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),141,7157,7720,7721,202
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),13,1522,2298,2296,160
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),64,3007,2978,2989,205
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),39,1167,1816,1810,175
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),26,776,384,384,253
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),173,8791,9751,9764,181
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),2: Peak AM (6am-10am),13,1928,2892,2900,171
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),3: Mid-Day (10am-3pm),94,3848,3795,3795,209
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),4: Peak PM (3pm-7pm),46,1381,2362,2370,141
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,1: Average Weekday (M-Th),5: Late PM (7pm-12am),21,891,419,419,154
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),77,3476,2257,2227,162
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),14,761,765,736,141
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),16,1026,709,730,203
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),24,616,468,447,158
Commercial,4,Norell Ave,yes,N/A,no,1,Manning Ave,N/A,no,7,North Manning Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),24,585,188,188,145
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),6,7157,3752,34268,632
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),4,685,240,2359,656
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),2,3007,1620,13335,607
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),0: All Day (12am-12am),7,8791,4869,44765,656
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (M-Th),1: Early AM (12am-6am),7,743,265,2853,656
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),8,3476,1076,9625,607
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),8,1026,276,2796,607
Commercial,4,Norell Ave,yes,N/A,no,2,TH 36 EB Stillwater Blvd Off Ramp,N/A,no,16,Stillwater Blvd South,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),6,7157,3752,6620,526
