Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-D Traffic (Trip Counts),O-D Traffic (StL Index),Origin Zone Traffic (Trip Counts),Origin Zone Traffic (StL Index),Destination Zone Traffic (Trip Counts),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),11899,6434,11899,6434,11899,6434,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),923,619,923,619,923,619,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),2613,1331,2613,1331,2613,1331,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),5059,2640,5059,2640,5059,2640,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),2035,1066,2035,1066,2035,1066,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),1269,779,1269,779,1269,779,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),8220,7662,8220,7662,8220,7662,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),577,667,577,667,577,667,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1824,1615,1824,1615,1824,1615,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),3635,3286,3635,3286,3635,3286,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),1342,1211,1342,1211,1342,1211,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),842,883,842,883,842,883,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),1371,2856,1371,2856,1371,2856,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),176,428,176,428,176,428,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),212,404,212,404,212,404,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),447,852,447,852,447,852,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),296,616,296,616,296,616,0
Commercial,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),240,556,240,556,240,556,0
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),2982,1605,11899,6434,57254,27787,179
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),273,174,923,619,3136,1619,142
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),546,283,2613,1331,17301,8172,179
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),1328,685,5059,2640,22274,10762,179
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),537,280,2035,1066,10754,5091,206
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),298,183,1269,779,3789,2143,162
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),2063,1890,8220,7662,42943,36130,181
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),161,176,577,667,2280,2005,142
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),405,354,1824,1615,13050,10712,179
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),945,841,3635,3286,16928,14250,182
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),356,315,1342,1211,8104,6649,206
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),196,204,842,883,2581,2513,165
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),361,741,1371,2856,4373,8029,170
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),59,141,176,428,356,747,143
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),47,93,212,404,1208,2129,168
Commercial,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),115,201,447,852,1355,2374,172
