Device Type,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,O-D Traffic (Trip Counts),O-D Traffic (StL Index),Origin Zone Traffic (Trip Counts),Origin Zone Traffic (StL Index),Destination Zone Traffic (Trip Counts),Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),6170,8960,6170,8960,6170,8960,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),90,131,90,131,90,131,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),1309,1901,1309,1901,1309,1901,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),2479,3600,2479,3600,2479,3600,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),1758,2553,1758,2553,1758,2553,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),534,775,534,775,534,775,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),3695,9371,3695,9371,3695,9371,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),67,170,67,170,67,170,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),908,2303,908,2303,908,2303,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),1370,3475,1370,3475,1370,3475,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),1018,2582,1018,2582,1018,2582,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),332,842,332,842,332,842,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),1633,8323,1633,8323,1633,8323,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),10,51,10,51,10,51,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),208,1060,208,1060,208,1060,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),777,3960,777,3960,777,3960,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),486,2477,486,2477,486,2477,0
Personal,4,Norell Ave,yes,N/A,no,4,Norell Ave,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),152,775,152,775,152,775,0
Personal,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),981,1425,6170,8960,23588,34255,204
Personal,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),45,65,90,131,384,558,139
Personal,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),378,549,1309,1901,5128,7447,201
Personal,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),312,453,2479,3600,8434,12248,219
Personal,4,Norell Ave,yes,N/A,no,6,West TH 36,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),180,261,1758,2553,7090,10296,215
