Device Type,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Zone Traffic (Trip Counts),Zone Traffic (StL Index)
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),5116,2539
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),227,131
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),1476,766
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),2410,1123
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),661,314
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),342,206
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),3832,3279
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),173,166
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),1131,1017
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),1842,1498
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),495,403
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),191,196
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),419,826
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),36,82
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),119,248
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),137,227
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),62,116
Commercial,Origin,10,Crestview Blvd E,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),65,153
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),0: All Day (12am-12am),1957,929
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),1: Early AM (12am-6am),49,32
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),2: Peak AM (6am-10am),508,231
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),3: Mid-Day (10am-3pm),924,439
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),4: Peak PM (3pm-7pm),364,171
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,0: Average Day (M-Su),5: Late PM (7pm-12am),112,55
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),0: All Day (12am-12am),1474,1209
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),1: Early AM (12am-6am),36,40
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),2: Peak AM (6am-10am),364,287
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),3: Mid-Day (10am-3pm),719,592
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),4: Peak PM (3pm-7pm),274,224
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,1: Average Weekday (Tu-F),5: Late PM (7pm-12am),81,65
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),0: All Day (12am-12am),155,264
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),1: Early AM (12am-6am),3,7
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),2: Peak AM (6am-10am),54,86
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),54,88
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),30,52
Commercial,Origin,11,Oak Green Ave South,yes,N/A,no,2: Average Weekend Day (Sa-Su),5: Late PM (7pm-12am),14,30
